Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
130,2025-02-17,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1218,1275,1218,1264,24237,30378113.7,1213,1491,585,2025-02-17T14:59:51.916234,1264,346,1253.37,4640.69
131,2025-02-17,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,2370,2399,2290,2390,5297,12438067.8,2332,3047,721,2025-02-17T14:59:57.037976,2390,134,2348.13,4082.24
132,2025-02-17,2809,SHIVM,SHIVAM CEMENTS LTD,530,534.1,528,534.1,84922,45151142.3,525,779.9,459,2025-02-17T14:59:49.444491,534.1,441,531.67,29144.81
133,2025-02-17,2811,MHNL,Mountain Hydro Nepal Limited,278.9,278.9,270,272,21849,5985432.4,274,379,215.7,2025-02-17T14:59:59.675854,272,135,273.94,3400
134,2025-02-17,2824,HURJA,Himalaya Urja Bikas Company Limited,251,259.8,251,253.6,182779,46826238.8,255.9,335.5,183.6,2025-02-17T14:59:56.734713,253.6,564,256.19,5021.28
135,2025-02-17,2828,SAND2085,10% Sanima Bank Limited Debenture,1080.6,1080.6,1080.6,1080.6,25,27015,1101.6,1256.6,1028,2025-02-17T12:10:03.617523,1080.6,1,1080.6,2161.2
136,2025-02-17,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,2014,2209.9,2014,2173,20770,43872936.1,2013,2426.4,830.1,2025-02-17T14:59:56.559998,2173,349,2112.32,3175.59
137,2025-02-17,2831,UNHPL,Union Hydropower Limited,354.4,362,354,355,118001,42324166.8,353,371,212.6,2025-02-17T14:59:59.58502,355,448,358.67,2662.5
138,2025-02-17,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1020.2,1060,1020.2,1048,10060,10577843.8,1032,1492,658,2025-02-17T14:59:58.653912,1048,174,1051.47,5212.92
139,2025-02-17,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,350.8,356.9,350.8,352,21587,7625220.1,354,442,256,2025-02-17T14:59:27.909627,352,184,353.23,11563.2
140,2025-02-17,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,9.5,9.51,9.5,9.5,12000,114027,9.59,10.39,7.35,2025-02-17T14:34:49.229646,9.5,4,9.5,1140
141,2025-02-17,2766,CHL,Chhyangdi Hydropower Ltd.,549.7,549.7,517.1,528.8,71067,37633975.9,539,566,281.3,2025-02-17T14:59:48.365287,528.8,316,529.55,2046.34
142,2025-02-17,2767,HPPL,Himalayan Power Partner Ltd.,628,639,611,611.1,233431,145460886.7,627.3,656,244,2025-02-17T14:59:56.050604,611.1,704,623.14,6510.76
143,2025-02-17,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1448.5,1500,1445,1488,13659,20271835,1448.5,1851,790,2025-02-17T14:59:58.610793,1488,525,1484.13,5504.46
144,2025-02-17,2770,SEF,Siddhartha Equity Fund,9.89,9.89,9.7,9.88,81200,801312.5,9.73,10.49,7.42,2025-02-17T14:56:21.976715,9.88,20,9.86,1482
145,2025-02-17,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2898,3157,2898,2941,9889,29716975.3,2870,4026.2,929,2025-02-17T14:59:25.162897,2941,299,3005.05,3601.06
